Paiwan,English
nuizua mariljangi aken saku gemusam,If there is I would be looking for marigolds to plant
avan azua maqati tjen a i kacawan a kazelju,This is the time when human beings can make sacrifices and share them
kedrikedrikedri,small
aw avan azua a uri tja si demaic,So this is why we have to organize and remove for fire protection
au tazua na puvaljaw taza ni siaw sinsin a kaka,He had just married Mr Xiaos brother
tjadjaljav a pakatuakisia,It is faster to take the train
kinananguaqan nua gadu,The Beauty of the High Mountains
papamapamaven,Half and half
ini uri paveli djen ta djapedjapesen a bulu,No we will sell balloons
lami,food
na avan cu a sinapazangal na ramaljemaljeng,These beans are very precious to the old man
inuan a su qinaljan,Where is your hometown
tekelu,Drink up
nuremaketj djemaljun i kadjunangan,Sometimes it hangs to the ground
irivu,It is not supposed to be
aicu a kana vaik tjen,If we go this way
izua ku sikasalialim a vuaq ika aken a i tjumaq ki pinungiday anga kaumaya,I am out today How about another day
kana nu,if
azua kemasizuanga,That is when it all started
ui aw djavaci lja ku su tjumaljii ta ngadan na anemanema nu maya,Yes let us walk along like this and I will tell you the names of the plants one by one
nanguaqan,Health Promotion
pai atja Giqing se Tjimur,That Our legislator is from Sam Tei Village
vuvu a vavayan,grand mom
sakamaya ru qemevaw a ken tja kama sa kiciul a qemaljup kati kama,Every time I quarreled with my father I wanted to go hunting with my father
ui ui ui inaitazua sicuayan,Yeah yeah yeah That is how it used to be
anema muri su kaiven,What would you like for dinner
ika kantantang aza u sinivelian,What I bought was not easy
djalan,kind
vaik aken aya iken a kipumayanan kiken a tjaljinu aya za ti sa kaljaljuljalju,I am leaving no matter where I go Inhabitant Lalu said this
vaika men kata za ti tjuku a maqulaw utauta,I went there with Lim So young and we were just hanging out
lja avan azua tja kemaljava tua qudjalj,It is because we have to wait for the rainy season
masepatj tia madju a malengerungeruq,He has four brothers
liaw a ʼuʼinilandaan ta nakumudakuda,I would have heard a lot of teaching
cuai a pasa Ulai nu unting tjen,Is it a long drive to Ulai
mapuljat,All of you
avan nu ku situlutulu anan,I am still teaching him
sa avan anga mavavua pai,Next we will talk about going to the field
namaytazua,It is like this
ljakua paljayang nua Cemasini karu makuda aicu anu kiyukai,But God has given us a vision Your church will be fine
pida su sengsengan tuazu,How many jobs did you have
suliavu a keman na kemesa ken a pakaliyaw ta djamay,Enjoy yourself I cooked a lot of dishes
paika seman pukisabanitjin pupaisuitjin,Then we made a lot of money after farming cassava
nima sun a aljak,Whose child are you
sa anema,And that what
kaljazalangezangan,summertime
tjai,indistinct
mapalisi,witchcraft
tavak,be used to
timadju,he
tja kiciuran,We will just follow
vuvu uqaljay mangtjez anga men,Grandfather we are here
lekelek,boehmeria thread
avan nu ku sinvaljakan ku ayawawa ku sitjawcikel,And my own experience in presenting our culture and traditions
aicu a zaqu tauta sininpazangal i taqinqljqn pulingav,This Sapindus is also considered sacred by the tribes
aw azua ku ting azua na ku tings una tjemaljudjaljung ta,My score my score at that time was up to Tamkang Universitys standard
sinsi ika na masi sapitj aken,Teacher I did not bring my textbook
pida a kiam nimadju tjanusun,How much does she owe you
inaceveljang i paliʼuliʼus matazua,At the Blandland Burial Ground therefore
mai kemali ta qipu,Do not dig in the dirt
e a kakedriyan tucu anga liyaw a ka ki vangavang niamadju,Kids these days have a lot of things to play with
na maqeljing timadju ljakua nakulusi tjanuamen lja,I am pampered but it is hard work in my house
nu mangtjengtjez anga ana namalap tua vavui sa tjumatjumaq anga nu tjaljudungdung ta qinaljan a qade uri paljuiljui tu ui vavui u aya,When the hunter returns home from hunting a mountain pig he must shout from a high place on the outskirts of the tribe Ooee Mountain pig Oh to inform the tribe
qau a masan nitaljnu marekakakakaka,Another thing if a sibling
pasemalavi anga tu na pakadingua aken,Could you please tell him I called
dikilu a tja siaya ta aya ni pinuljacengan ni,We can take it to stay after Mountain Diner
qetji anga za i qumaqan,Look at the inside of his house
au izua ku sikaljavaljava kacing,And then there is someone waiting for us over there
enamaya tazua za u tjaucikel tja nuitjen amen,That is what I am going to share with you end of story
ʼemudaʼudanga mun lja mare u vuvu,What are you doing already
tjaiteku tua,beneath something
avan cu a qaljemeqem a vurati,The sweet potato is so sweet
pipadrangan,broken
lja masa mayangata masan itjen,Maybe it is because I am the boss
seman puzaljuman pasa takaw,Water diversion to Kaohsiung
avan ang i qinaljan a mamazangiljan a djinaulj,Only the head of the village is invited to attend
uri maka palidring ti Api a sema kiyukai,Api goes to church by bicycle
inia tjimaza i veceʼadan a qinataqata,You cannot put embroidered glass beads in the middle
gata avan anga e nia kinaizuanan azua nia,But where we live our
saka nu kilami tjen,And when it is time to harvest
masan musalja aza a i u e o,There are types
ljakuw ini cekaukawin na imaza a qinaljan,But the tribesmen are not letting her participate in any of the rituals
maitucuanga tjaivilivililj nu uri cemapa ta pugu,Nowadays people peel the taro in half mom
ini natjevavaw timadju tua hikuki a sema Taitu,No he took a plane to Taitung
na nansay sun tazua,How old were you
nasiuljay anga timadju kata macidilj,He and his other girlfriend had to sleep there at night
namirazek,strong
inianga tjepaqenetjtu ljaima,Cannot remember The name of the house
mapuzangal,Celebration
izua na kisumalji a djamai pai pasemalavu,Do you have any special dishes you would recommend
tisun a pangac,You are a bee
namatazua a padjaljiyan azua seman a aya seman dridri nua masuvaqu,This is the procedure and process of killing a pig during the millet harvesting ritual
aza tia aya male timaljimalji anga tjen,Every branch of our organization goes out differently
matu za bulu a minlayalayap na saceqalj,It is like a balloon flying It is easy
nu djemumak a tja siruvetjek ta aicu a na azua e a e valitan aicu a tjatjukuyan aya,If our brothers and sisters are in trouble or if they are facing a bottleneck in life
semekez tiamadju itua sasekezan pai,Just resting in the resting place
na matazua qau,It is that
izua na macay,Someone died
kalji,yard long bean
u wa na na numaya lja ku vuvu,Whoo That is my beloved baby grandson
uli nasa,I wanted to go natural
azua i katipul a kadjunangan a patatideq pita nia qinaljan inika nasepacadja,The place of Chibun not far from the tribe
ljemaljeqel a pagalju a kinaqadavan temekel itjen tua linalja,It is a bit cold so you need to drink more warm water
drusa kingking,Over pounds
kiljavaran,Speak
a sihu qemeljing a mazazangiljan au si karakuda,The government will subsidize the ringleaders activities
pakaleva,share with others
ali lja rangi vaiki a mulikakanen mavavuwa ya men,So we said we would all go to the mountains to get something to eat
saliman i tjuma,pluck
matu na qemudjalj anga tjevetjeveng a djalan,It seems to have rained and the road is wet
qaljeceqec,sour
veneli anan aken tua qecilu izua nu sipaveliveli,I want some eggs too do you have some
au nuke nu tja pinasazuanga nuna matukanga za mi e mina minatunatuk anga za zaljum patagilj anga tja qaluvuin a nga matucu yu inika tja sekezan,If the vegetables have been added and the water starts to roll keep stirring to break it up and do not stop
tjumalji,tell
na qemiladj a en ita qaciljay i djalan,I was sitting on a rock by the side of the road
elja giling mun,Oh You are the Gillings
bulay ta qaqunuan tja ukayuing,Cooked rice is good for children
kasicuayan a rupasusuin su kilagdan ta ku kisusuin tiamadju,I pondered over the past lives they told us about
kamaljika tuazua aicua djalan a sematjukuvulj,Especially on this road to Devon Village
lja ikanamaya ta paday a djemabeliq sa ka mekudrar azua e kaingawngaw nimadju,The reason for this is that unlike rice the tips of the leaves expand when the ears are spiked
nu sauni pilima nga ken,I will wash my hands later
ljakua mapavalit anga tja vuluvulung tua ciukuku anga sualapu a nu tavalj a padai ayain itjen sa palaingan anga nua tja taqaljaqaljan,As long as there is a source of water close to the farmland it will be converted to rice cultivation
ljaʼua tjaʼudai sinipagaugau nua na emati tjayamadju,But there is nothing we can do about it It is a gift from the Creator
kasizua anga,I have been there
takit,mountain knife
aiyanga sun nameqacanga sun ui,I have not seen you in a while Have you grown taller
kisasamulja en uta a vaik a maka maza i gadu,I have been working harder to set traps in the mountains
aya tjen ta ciniukukan,Chinese sounds like an orphanage
mareka caqi na kiki qauzung a sini paluveluv,The poop is rat and cockroach poop
ari vaiki a kiveli ta kenamain,Come on let us go get some breakfast shall we
nu masulem,If it gets dark
kumalji a nakipadrasiaravac,Although the sun is beating down on me
maruu,roll down
masivarung,From the bottom of my heart
aicu a,This one
kaljavevuan,spring
nu inika tja pasusuan a nimitja kakudakukanan anan,If we do not continue our traditional culture
nu,as if
tja si talem i tjumaq sa sanguaq aravac a aya a ljawljaung nimadju,We planted it in front of our house and it gives us a nice shade
kinai,Current
malang,carvings
nui namaqal a su vavak,If you do not have enough magnetic field
pangulen,I will get hit
sinpalakac ta ungma tjalje zua i,There is a horse tied to it
unduziu,Stadiums
tiamadju navenarung anga tu nazunbi,They will be very concerned about preparation
ailjua naluwan iyanayau lja inuay,What about Naluwan Naluwani Naluyawu
pacikelu,Come back
zemulezulj,Hot
ginziu angata za u kama tuna,My dad is very strict and
aya,it is said
zemekar zemekar izua,boyfriend
cukulu ta puzaljuman,priming
timitja a se paiwan a tja sipazayizaying mavan a lalingedan aya ke masicuai tja sinan pazangalan aicu a lalingedan,Nasal flute is an ancient musical instrument of our Paiwan tribe and it is also a very special musical instrument
a pazangal a madjadjumadjumak ta namayatazua a pacual ta sicuayan,It is very hard to find the tribes as they once were
man lima a pipenuljatan a nia kinacemekeljan,There are three brothers and sisters in our family
amin a sarekuya nekanu kadjunangan atja kasengesengen,The only inconvenience is that we do not have any land to build on
neka nu asav nu ledjeledje vana kiljacengeng,There are no leaves there are young leaves there are vegetables
qutela a pacacikecikel aya,Because it is too much trouble to come and go
aza sisauniyan a tja kiniaya a vurasi tja senavaw,We just washed the groundnuts we picked
atjuvitjuvi,insect
kinamatjany ta nia quma kina matjant djalan,I do not know if it fell down my hill or halfway down
taza tji Muakakay aya a kinauangan nua matjaljaljak aya,Mokaiyi lost her parents
a qaqunuan ika keman,Kids do not like it
temalem sun ta vaqu susi pavelively anga manu su kakanen,Do you sell all the millet you grow or do you eat it yourself
ta bakic,bottled water
lja ika tjen na pacun,Because we did not see it
au u siljeveljev aza u tinizuan,I soaked the other mountain pig in the water with the shank
ljakua u kaljavaing u kaljavaing timadju,But I will wait for them
semuasuap,sweep up
nekanga ku picul ku ayain a ku aljak,Tell my kids I have no power
vavuwa,plow land
a izua i tjumaq ti vuvu i uqaljay,Is grandfather at home
sisan kenamain a nan sa pakani anan azua matjelu,I am sure I will cook breakfast for all three of my kids first
nutjyau ripaitjin aru sema tjukai amen ka tji kina,Tomorrow will be Sunday I will be going to church with my mom
qaqunuan numaya ni,It is young
lja izua sipaqulid niamadju,Because these customs have a meaning
malekutj itjen taza i qetjung nutja kinemenemen,We will be afraid of the tunnel if we think about it
saka kimaya maitazua ngata kaumaya angata nu tjaucikel,Maybe that is what you are talking about
sa nia paljevavavi a balas,Just put the gravel on top
angalj,mouth
aicu akay kakedriadriyan aicu a namayatucu aicu,These are all These are all smaller looking
avan azua tjalja saqetjuan ta sangasangasang,Because the first time is the most painful experience
aw azua kasiw avan azua abulagi a na saceqalj,If it is a tree it is a Yau Tong tree because Yau Tong trees are very light
izuanan nitjen a pasemalamalaw tu kasi,He will even ask us to introduce him
aw pacacikecikel anga ken tazua,That is when it is time to go back and forth
kaziyan,jump about
nasemutalad ta gade a seman djaljan ta zaljum,Erfeng Canal is an underground reservoir
tjalja kudrakudral aza kina ya en aya ti tjama,Your father said the female snake must be very big
cinavilatang nanga,That is in the past
kemeljang sun tu san vilivililj naken aya,Understand how I am being looked down upon
tjemagetjag,chop
taiday,one hundred
izua navenli ti kama ta tiyaw,Yes Dad bought it yesterday
izua za niavuvu ana kemasi vudjai,We have an ancestor from Wutai
kinasaluan tua cemas,believe in God
pinudingdingang,snail packed
pinaparetimalji a nu mazazangiljan kata nu sikataqaljan a kakudan,The difference between the nobility and the commoners is very obvious
tjemenun,Woven cloth
matu sipapupicupicur ta zua sipalisiyan na pulingaw tazua vaqu,It is as if the spirit of the shaman is enhanced during the millet ritual
maitucu,Let us put it this way
a matjailikuz ta salan nakuya lja ki papacun,Do not show up at the warehouse
patagilj aza seman puljameljaman,The ginger growers have started
sitedek sitedek tua tarar,Stick it in Stick it in the headband
itjen,indistinct
luni,earthquake
aicu nu saqetju azua caucau,If someone is sick
emacepang,measure
kelu samazau a marasudj paqenetju a kemacu a nu sipurisengsengan,Come and line up remember to bring your tools
nu djemaljun itjen i tuging namapulingetj a nguljinguljan nua makapanapana a ljameljam,In other counties we can see a large sea of flowers
u papacunan nu venaivay a u kina kasicuayan,I used to see my mom sunbathing all the time
aza nimadju a asaw matu bikilu a ta,Its leaves are said to cure snake skin
namekudral anga sun ui,Have you gained weight
puvilivililjan,Last time
aza neʼa nu siupu avanazua lja sangatjen ta asiv,When there is nothing else to use you can use branches to keep the soil from eroding
uri vaik timadju a zemiyan,She is going to go dancing
aicu a pimaza ta qededan,At the top
kaw namatazua nia kinapuvaljavan kata u valjaw,This is my married life with my husband
salum ia liyaw na hemana tucu,It smells good It is really full of so many flowers
avan a zua draradrua anga pulingaw tua satjan palisiyan,It was at this time that the shamans began to perform the rituals of taxation
na tjemaulj amen ta mareka nia kasusu qali ta meseljang a kaiv,We invited friends and family to have a great dinner together
maqati anga itjeng aya,We can participate in all kinds of activities
buka,mans name
sa nu saqetju namezanga a saqetju nu saqetju itjen ta i tjumaq tu ta aljak ta vuvu ta timitja a ramaljeng,Whenever you are sick you get very sick and it affects everyone in your family
ari,Come on
madjumak,I have got it
sipaseljavak,share with others
madraudraw anga sun a kemacu ta sivecivecik,Do you forget to bring your pen
masi Rusiguan aza u vuvu a ama na u ina,It is from the Xiguwan family from Luxembourg
uri kesaing,It is going to be cooked
maitazua kakudan nua semupuljuan,That is what mourning means
matu anema,Like what
puvilivililjan tua kinai kacauanan nu aya tja sikarasudj a marekakakaka a maraljaraljak a pusau tua tja matjaljaljak tua tja kaka,In the last part of life journey to the burial of relatives and friends of the clan to participate in the family need to send a few men open the grave lid
tja en,me
sulja,snow
azua qeluz na mapuqanga,The pillar has collapsed
aw nu ai izua nan azua si ku tjawcikelan a avan azua uri si vengevengetj,What if oh No no no no There is one more part I did not tell you It is about the kidnapping part
tazua anga inianga emacaqu a qivu a caucau izuanga niamadju niamadju vaik a ziu qau,It is a very small minority for everywhere there is already a gospel and they walk according to themselves
a qinisaqis a inaya qaw a inayatucu,When the bamboo used for divination broke
izuanga za nia vinarungan tjayau,That is why we have this concern
ui ku kinisedjam tucu tjaimadju,Yes I borrowed it from him today
izua a gadu i tua nu qinaljan,Does your tribe have mountains
taveljiut taveljiut aya tjen,You have to say one by one
ui situ aken,I am a student I am a student
nu ljemita qadaw semuap amen aza kiusic tja paka suapen a palimasudj,We have to clean every day and everyone has to clean the classroom
sikakudanan,being in the world
nazua ljisu ni katje vuqelan azua,Mulberry trees have a thick heart
pasemalavan timadju nua seljaseljang ayatua ika sun a kitju kacu tua nemanga sa aza sinipasedjam tjanusun a nemanga ika sun angata a pacikel ayain,The classmate told him because you did not bring it yourself and you would not return the things lent to you
aza enu pasa enu i vavua itjen ika itjen a makaya a kemesa taicu a pinuljacengan nu a tjau masuvaqu itjen,When the millet is harvested and left in the mountains and we go up to the mountains it is not yet possible to cook the millet
nanemanemanga,all living things
sicuayan anga ku pinacunan tjanusun nameqacanga sun,I have not seen you in a while You have grown taller
ui makavauanga itjen,Okay we are done now
tu pavayan naʼen tua ita aljak a vavayan,Give me a daughter
nu vaik anan a sema vavua na kemacu amen tazua quwar,That is why we bring hemp rope when we go to the mountains
ay sa mareka ku aljak tua si padjaliman aya,Awww my kids are so cute
sipayzan,fan
aku sun a paqenetj,How do you remember
kaitjumaqu,You are staying home
a inia en a kemelja ta zuma pai buksi namai tazua aza u kineljangan ta u kinaikacauwanan anga en a,Pastor I do not know much about the others I just know these
namaitazua a e,That is it
nu vaik amen a ma maka zidingsiyasiya men sa,If we go to Tainan we ride bicycles and then
padjalim aravc,Very hardworking
saka nu izua kemuda,If anything happens
qecengecengel,dark
cavuin a pimaza nemanga sa atucuin,I will put the stuff here and then I will wrap it like this
za marezekatj tazua taqaljaqaljan aya,The couple said that to the tribesmen
izua patarevan na aicu,That is interesting
ayangata nu ljemaljeqelang ngata matjatjan,If it is really cold you still have to carry water
avan azuaanema kitjen a aya izua na a aya hana a vangalj vangalj nimadju,It has that protruding part what is the Paiwanese word for it It grows flowers
aza ciukuk,There are flatland's
semeqeseq,Asphalt In Water
malum,Mature
na semarenereneng aravac aya tazuai djeraw,The land of the Rainbow Valley is a place of great mystery
matu maljekuyakuya,It is like a gradual degradation
salilimanga,It is late at night
paka ta kisiayi numaya tja sarenguaq a tja siqiladjan,The train is better and more comfortable
auri kilingaw tu namakuda a qinaciljai a umaq,Experience how a slate house really feels
aya amin nu ku kemeljang,Shut up I only know Minnan
djemulat,step
avan sika nesemutuludj a men imaza tja quma lja,We are the poorer ones on the other side of the river
a tjaiviljil,Back
ka ka pu valjaw aken matu aken a,When I got married it was the same
aicu e nasemetuludj naqazalj aravac amen a kemasizua,We have had a hard time since the old days
a izua nu gakku i qinaljan,Do you have schools in your community
ui lja tjivuraven aya itjen,The Kieffraffen family
manu izuana izuazua nia tjezatjeza eman yu,By then we had savings
anema su sincevuan a kulusilusi,What else have you been through
ka kakedriyan a ken na djemavac aken a kirimu,As a baby I learned to walk very quickly
uri sema gakku anga ken,I have to go to school
azua na nia kinalakuda a nia mudriasan,The place we are opening up is Muliakami land
azua,then
patagilj a masik a e ramaljemaljeng,The old man will then start to do the plucking and thinning
malap,Pick it up Take it
itjuma,inside
pay kemuda maluwa,How come you do not take it anymore
i lja anema tjakeljang,Eeee How do we know
ika na cemikel anga,And then I did not come
tiamen a payuan na sepangalj i kacedas katua i qaraba,We the Paiwan are located in the eastern and southern parts of Taiwan
kupai kuqaivuin tiamarekaka,I asked my two daughters
sa nema sa za kavayan qau neka maljeput taza ka pasatjaladjen taza vacalj,When the bamboo strip is inserted into the water it instantly sinks into a deep pool
taidai ya drusaidai nu pavaqu,Let us say Xiaomi has
namatazua sikudakudan ta kisudju a pasangas,This is the beginning of the marriage proposal
saljinga,like
drusa a puluq a tukian,It takes minutes
pukakudan a semeqetj ta vaqu izua nu mapalisi ta sicuayan nu semeqetj ta vaqu tja pasasaven a sitjai sangasan a vaqu,Some tribes have simple ceremonies where the old ones are taken out and cooked or made into wine
izua patarevan na ramaljemaljeng,In the old days people used to name things with a meaning
mayanga manpusuikan tauta,Also went to the watermelon patch
aw pavecik aken pakituluin amen tazua djidusia,After checking in let us get acquainted with the car
kicun aken tjanusun ta nutiav a masukincengelj ui,Can I make an appointment with you tomorrow afternoon
uii kusipavayan aicu a suapan tjanusun,Okay here is a broomstick for you
uqaljaqaljai a semu asiasiv a remidraridraridr,Boys cutting trees with saws
vaik tiamadju a semagadu a qemaljup,They went hunting in the mountains
neka inika men a paveliveli tua saviki,No we do not sell betel nut
aicu a tiyaen pasusususu aen ta u linadang,I respect the rules
ika na masan qulivalivay a aya,It is not even yellow yet
vusamgusam,seed
navenalavala,quiet and safe
vavayan kana bulay su situluan,They are all girls as long as they are well brought up
i,Hey
vai tjen a tjecapan ui a pasasuvelivelid ui,We are going to go over to the oven and flip the taro
migacaljanga nu kadjamadjaman a qemaqivu ta savavayan,You have to tell her when you wake up in the morning
pualjak,give birth to a child or children
sa qaljavaljavar anga tuatja qiziyu,The villagers are ready to start discussing the issue of village relocation
avan nu sicekaukau ta e pasamelava a puita a pakeciyuan,Usually a one time scale is used for the measurement of width
matukezcug,industrious
piqay,wound
qedji ca aya quvaquvalj na vuwaq,Look at this hairy prickly yam
migacalj aza tja quvalj,Our hair will stand on end
maqati tiamadju a kazelju namayatazua kasicuayan,In order to perform the ritual of sharing
vecekatan a vengin,midnight
ti vais a ngadan na ku kaka tjaljaljak a vavayan,My younger sisters name is vain
kilja ima ki aya,I do not know which family
namaka kisiya timadju a sema Taitu,Did he take a train to Taitung
saka sinan caucau tjanuaken,For treating me as if I were
uza zaza qudjidjilj,There are red ones here and here
sikivavuy masa tedevan lja,Light it when you shoot the hog
mecevun amen tazua pay cuivan,That is when we met Cui Fang again
magudem,be completely eaten
tjumaqa anga en,return home
maljimalji uljasunana suljivaljivatj dri,Thank you I wish you peace and health
qaw ka taigu sun ka na pucekelj anga sun,Were you married when you got out of the Army at
masudju amen i qumaqan kati ama i Sakinu pinaseljavakan aen tu liyaw a milimilingan,My uncle and I chatted in the room and he shared many stories
sinsi marekut aken ta atjuvi,I am afraid of snakes
a ulja na ljiya tjumaq lja nu maya,I hope I can marry back into my family
pai pusaladji aken a pasa ta kubav,Will you help me with the barn
kina uli ka penaquliqulid a kilanda tiamadju,Are they willing to listen to what I have to say
uwa avancu a qaljemaqem a puday,Wow The corn tastes so sweet
maljimalji sun a ngauta,Me too Thank you
leman izua,Yes
sa nia ljacengi a vavayavayan a itjavililj,We girls followed and cut the leaves
kigidi,lie on the side
manasika malevalevamen tua imaza i qinaljan tua kineljangan,So we are very pleased that this tribe is recognizing and understanding the traditional customs
aza i litau avan qetjung,They are digging tunnels like Lee Inori
saljeljen,female name
ayaya vanu izua kemeljan tu izuaken aya,I see someone knows I am here
ljakau manguaq ika aljis a na ay,I am glad I did not hit it with my teeth
kanahaw kanahaw izua,Yes
ta naljaviya hana,Flowers of Mangrove
ainu ti Padrungdrung kati Sakinu,Where are Padrungdrung and Sakinu
ayatua namavalid a kasiw makeljang a kemasimaza tua namakuda a uvelengan nua kasiw tutazua,You can imagine how lush the forest was at that time
nu tja pautezen a pizua a,If it is there
sa timun a maka ku vuvu a nakiqepu nakitevelj tjanuaken i maza cuacuay ku ayawaw,Together with my ancestors who have always been here to protect me
masalu masalu ayau anga numaya ti Keljeng,Thank you and thank Keljeng for me
Muakay Muakay kelju sasavu uza izuanga tia tjaina,Mokaiy Mokaiyi come out Your mother they are here
pai manu tjengelai ti kuljeljeljelj taza ti kaljaljuljalju tia kaljaljuljalju lja,It turns out that Guler likes Inhabitant Lalu Inhabitant Lalu is a woman
au ku kinivadaqananga,Because I have asked the hunter about this hunt
neka timadju anema nu sikim tjaimadju,She is not here what can I do for you
au si inuli aʼen niamadju,And pray for me
sa cemecemelanga za tja vasa izuanga camel,And then the taro plantation is overgrown again
tu palekang aya,Bamboo basket
nanaitucu anga pacuni,It is already done you see
djemaljun,I have got it
kacuing na men a ki lava kumuda katazua u aljak,Take me and my kids to catch a flying squirrel
aw semaumaq angamen,So we are going home
kasicuayan dalu,Was it
matu tjen navaivaik tja pacunan za timadju a caucau uli tja secevungan,It is like walking and seeing a figure It is as if I am going to run into that person
sake,And then I
vavaiku,Let go
pangac imaza i tua djrung a u kinaya,Bee in a pottery urn
neka uta nu niaken ni Muni aicu,I do not have one either This is Munis
ljakua izua za nakuyakuya a sikudakudan nimadju inika ru pacikel tua kinisedjam a nemanga,But he has a bad habit of often borrowing things but not returning them
karakuda,operate
ningzing,carrot
makakaizuazua,various
tapuluq saka drusa a cavilj nimadju tucu,He is years old
kaw kacuayanga netevuta,And then the baby was born
kincengeljanga tiamadju tazua kicengeljanga,They are eating Chinese food
tja vanguljen maitucu azua a aya,We can do this when the torsos are spinning that
vaivaik ananamen a mazua kipusengesengan,We will work there again
inia tjen a picemacavu a penaqetelengan,We cannot just put on footwear
tima a,Who is it
kadradrungulj,butterfly
valangis,fur
nuikatjen a yasinau ta dridr ta vuyu,If we do not raise pigs and chickens
aza sicuayan ui nu mapana,I used to go to the river
ui lja nu cuayanga ma drawdraw,Yes I do Sometimes I forget
masan,Become a school teacher
qabirimacamilig,goiter
kumalji nu maljeveq kimen niamadju azua yu,It is like a five year festival where they find a place to worship
nakicaquan,Go to practice
ika su ayaing ta kuwang ta anema,No guns or other tools
nu neka tja ki djuladjulatan neka i tjen a seljedjek a mavacuk,Without a place to stand there is no place for us to balance when we are reclaiming the land
ayaing,Tell him this
ui cinapananga cu,Yeah it is already baked
au nia cemapilj a kalakuda,We will be involved in the reclamation
ika sun namalekutj ta pangac ta qatjuvi,You are not afraid of bees and snakes
madjulu zuanan,If it is cheap
ikanana tjengelay,I do not like it
aza mare rava au,Those two then
nu kana mecevung tiamadju masasudjusudju,Whenever they touch each other they reproduce
inika avan azua kipazeliyuliyulj ta paisu lja,There is no payroll system
saka izua tu ta qemauqauqaung ui,Then we will shout together
nu vaik tjen a pasankava,If we are going to order clothes
anemayanga tjen tazua,What are we going to say
a nakanga,Aah Bye bye
pai nuna semaumaqanga saka na pinakitjelikuzanga,When the Bar Mitzvah is completed and you return home
saka,also
aladji auta pasasing,No photographing either
sa ljitai a semupu tuki izua a penuljat,Count them are they all there
vuvu,You guys
matu izua remakarakac,It is like someone is holding us
saka kina tisunay ya tjaisangas a mulja tuatja nanemanemanga nua tja aljak aya,Senpai you should make a wish for our child first
ika puita kiaya puliyaw,You have to share every receipt
sisakungkuangaku,At school
aza garaljigalje aza maka tjumaq a garaljigalj,Wooden chair corner Wooden chairs in the house
tucu a cavilj a kaljazulzulan atui uri zemulezul,Will it be very hot in summer this year
aya za ti Muakay,Mok Kay Wan said so
kimen,keep looking for
mavetu,full
pakan,feed
nu menavulunganga tja vasa nu maʼa sabuanga itjen ta valangis,If the taro is old bury the seedlings with soil
numasulen azua,When it gets dark
kanavalj,the right side
ku qali ti Uljing,Uljing is my friend
ku,indistinct
masalu bulai aravac a su tulu tucu a qadaw,Thank you what you taught me today was really great
pualjak anga tjai sa e avan za ti duyuku,It is the birth of Doyogu
uri vuciqen aya kuisang,The doctor said he is going to operate
ina aza su sisi a rupakakan tjanusun,Mother the teacher who gives food
maqacuvucuvung a vavayan,miss
avan na tjatjatju,That is what you do
qaqunuan kasicuayan lja tazua,Because I was a kid
qadjaw ka en pualjak ta sikadrusa u ayaing,I think I gave birth to my second child I told her so
kaw azua ti aya azua qali ni na ku valjaw,That that friend of my husbands
ljakua tucu namitunganga timadju tua bulabulay a itung,But now it has put on beautiful clothes
pudjavay tua cemekemekelj,Sympathy for Families
aw nu e kimaya e izua anga a uri padjaljung tua sa tjelu a qilas e ika tjen a pacun ta djemapeliq a vaqu,Therefore after about three months we cannot see any millet on the spike
tusa mar tja nema aya men manu mantez a mar kaka a ilavalavalan tauta yu,Anything is possible so we thought without thinking of our brothers and sisters coming to
gacalji,stand up
putjeveng,soak
azua na u siniayaya ta u salasaladj,It is all for my friends
tjelulj,surname San
u kinivadaqan ulja,I did ask him Because
nanguaq aravac tucu izuang varukur,It is much better now There is a coffin
senema sun sa ljaima mun,Where are you from What family are you from
mareka kipusengsengsengan ui,All the employees
azua nia siqaljuqaljup a sauzayan inika maqati a vavayan a idjadjas,Our hunting weapons are untouchable to women
cemian,shaking
ui pasa izua nuain ita anema zua vencik yucing,To kindergarten
ui lja timadju pukakanekanen izua kakanen i taladj,Yes it does Because it grows fruits too and there are edible fruits in the soil
inuan sun,Where are you
makatjumaq tia madju nu mangetjez i qinaljan avan nu tja sitjaulaula ta umaq tu kiniveqacan tu pakazuanan na tja vuvu,Therefore the tribe will keep a special house for the returning ancestors to live in
e kanaika e kilalaingan na marka pulingaw anan a tja kadjunangan a pulingetj,Therefore as long as the sorcerer has not completed the sacrificial rites in all the farmlands the
paidjiven itjen a pasamaza i senguanguaq,Move us to a good place
tazua,at that time
namayauta maqaquljuquljuquljuc a vavuluvulungan tjayau,Tribal elders will fight each other
ljigeraw ljigeraw ljigerawizua,Male Names Male Name Yes
uii ti Kuljelje timadju,Yes his name is Kuljelje
manu pai kanu lja kina aya zua ti muakaikai ta za marka aljak,Afterwards roots of the mother said to the children Eat your food
manu pacunan a tjainan a pangac a naseman umaq itua qapulu nua kudrakudral kasiw qau itjainanen a keman,The clan found bees nesting in the hollow of a large tree trunk so they collected honey for consumption
ui qeciven na rupung a au,Then he was killed by the Japanese
tua tja kisankuya aya tjayamadju,Our hurt feelings
mangilu a remayu a ku kinacavacavan,I am sore all over
nakuya a semukakanen itjen,We must not waste food
qaku matazua ti tjadrava qaku matazua qavu nuayamun,You say Why am I doing and saying this
uy tjengelay uta pairang,I like it even if I am a Han Chinese
