Amis,English
"sicuayan anga su pinangtjezan, u qaivuau a mapuljat tu mangtjez a keman.",It’s been a while. Let’s have a meal together.
"saldji tu pukakudan, temkel aen tua uciya, ari a matua papasedjaluan a makakay.",No need to bother. I’ll just have tea. Let’s sit in the living room and chat.
"masalu tua su pinasedjaluan, uri tjumaq anga en.",Thank you for your hospitality. I have to go now.
"tjauculjuin cu a djurikuku, kacu a tjumaq sa galjuyanga keman.",This chicken was just freshly killed. Take it home and enjoy it slowly.
maqati tu mecevung itjen ita pasuvililj tua cengelj nutiyaw?,Can I make an appointment with you tomorrow afternoon?
"maqati, kaljavari tu maccevung itjen inuan?","Sure, where should we meet?"
maqati tu tjigaku iten? uri tja sansasingen.,How about meeting at school? We need to shoot a video.
"nanguaq a sema kakaqepuan, uri kemava en tua kinacalisiyan a itung.",Then let’s go to the community center. I’ll wear folk costume.
bulay aravac nu pautez a temelak a vuciyar nua sakura itua niya qinqljan. nu venutilak anga vuciyar idu anga karim tjanuaen.,The cherry blossoms in our tribe are beautiful when they bloom. Come find me when the flowers bloom!
"uri kemaljava itjen a patje kaljavevuan, pasu gemalju anga ravac!","That would have to wait until spring. It’s too late, isn’t it?"
sa pangtjezu anga ita palisiyan nua masalut a qadaw!,Then come during our Harvest Festival!
nanguaq lja! na kikaljava en!,Alright! I’m looking forward to it!
u su kivadaqay tu’ “akumaya sa cemikel sun a sema qinaljan a kemayzua?’’,May I ask why you decided to move back to the tribe?
uri cemikel aen a temulu.,I want to return to teach at the local school.
akumaya ikasun a temulu i lizuk?,Why not teach in the city?
"ayatua veleqed en tua u qinaljan, na saljinga en uta tu pasucikel a qemeljing ta i qinaljan uta.",Because I miss my hometown and I also want to give back to the tribe.
"saigu sun aravac a tjemenun, tima na temulu tjanusun?","You’re very skilled at weaving, who taught you?"
avan a u vuvu a vavayan. tjaljasaiguan a tjemenun i qinaljan timadju.,"It was my grandmother, she is the most skilled weaver in our tribe."
nakemuda sa venerung sun a kicaquan ta tjemenun?,How did you develop an interest in learning weaving?
"nia kakudan a tjemenun, na sa patudur aen tua nia kakudan.","Weaving is a part of our culture, and I want to ensure its continuity."
sanguaq ngata tja tekelen aicu a vinava vaqu.,This millet wine is delicious.
u vinava a macidilj lja！,I made it myself!
"maru saigu sun angata, cuacuay itjen a venava?",You’re really talented. Does it take a long time to make?
"ikacuacuay, tjara izua pitju a qadaw mavava nga. tja pakakesain anan a pita lalidringan avaqu, sa pizuay tua djulis a kemadikat, maqati anga djilungen.","No, it only takes about a week. After steaming the sticky rice and white rice, we mix it with yeast powder, and then it can be stored in a jar."
anema su sipaveliveli?,What do you sell?
"izua kamangulj katua ljaugiyu, tiyaen a na temalem a macidilj lja!","I have chili and lokiy, both grown by myself!"
pida valjitjuq nu velin a ljemedrusa?,How much for both?
drusaiday sa limapuluq a valjitjuq a penuljat.,250 dollars in total.
"tjenglay aen tucu a itung, pidapaisuan a veli?",I like this piece of clothing. How much is it?
limaiday a valjitjuq a veli nucu a itung.,It’s 500 dollars.
"pazangal aravac, maqati tu tjamadjulu a pagalju?",It’s too expensive. Can’t you lower the price a bit?
"inikamaqati, nu pitjamadjulu uri masipun aen.","No, if I lower it further, I’ll lose money."
uynumaya! numaya venli aen tu taitungan tua qecengecengel a itung.,"Alright then, I’ll take a black piece of clothing."
na saljinga en taicu a tjakit katua pariyuk.,I want this knife and this pot.
"drusa kuzuljan a valjituq a veli a penuljat. u sinaliman a malang, tjaramaqati a siseljudj a cuacuay.","It’s a total of 2000 dollars. I handmade these, and they are guaranteed to last a long time."
"u tjumaljay a u qaliyaliyan tu veneli, maqti tu tjamadjulu anan?",I’ll introduce my friend to buy. Can you give a further discount?
nanguaq lja! u supuaw tu 8ce anga.,Alright! I’ll give you a 20% discount.
pangtezu a pacun lja! izua itung katua tjalupung a sipaveliveli.,Come and take a look! We sell clothes and hats.
pidapida veli nua itung?,How much for the clothes?
"nu ita itung tjelu a iday sa limapuluq a valjitjuq, nu tjelu a itung kuzulj a valjitjuq a veli.","One piece of clothing is 350 dollars, three pieces for 1000 dollars."
"veneli aen tu ita sakamaya, pavay aen tua vaquan.","I’ll just buy one piece, please give me a new one."
"nanguanguaq sun, na saveneli aen tua djuadjuay a tjinaljak katua ljinivanger a qalum.","Hello, I would like to buy sticky rice and braised pork with maqaw pepper."
"sepaveli anga penuljat a tjinaljek, izuanan a u tjinanaq a yuping, veneli sun?","The rice is sold out. I have tana pancakes, would you like to buy them?"
"nanguaq dri! pavay aen tu masanita, veneli anga en nu tjayvililj tua tjinaljek.","Alright, please give me one. I’ll come back next time to buy rice."
"nanguaq, u ravavaw tua lubulubuk, nu maytazua limapuluq a valjitjuq.","Okay, I’ll pack it in a bag for you. That’ll be 50 dollars."
qacalji! i cungali.,Please stand up! Salute!
djavadajvai sinsi.,Hello.
kana venalai sinsi,Hello.
qiladji.,Please sit down.
qiladju.,Please sit down.
"djavadjavai a masantalj.uri temulu a ken a nu sinsi tua patjara kakanen, sa anemaya a penayuanan?",Hello everyone. Today I am going to teach you how to say Paiwanese for food.
pulingalingaw sun tua ku sinitulu?,Do you understand what the teacher says?
kemeljang sun tua anemayamaya ken a su sinsi?,Do you understand what the teacher says?
"sinsi, ini aken a pulingalingaw. pai qaqivuanan a puita.",I don’t understand. Can you repeat it again?
"ini a ken a lemadenga, pai tja pasiqacauana?","I can’t hear you, can you speak louder?"
pacunu a pasamaza! kicuali a ken a semupu a puita.,"Look here, please! Repeat after me."
nanguaq aravac a tja sinupuan.,It’s very well read.
pai kituluanan a puitanga. tja pasiqacau ananri.,Read it again. Please speak louder.
maliceng. maya kiljavadran.,Please be quiet. Don’t talk.
"kalicengu, maya qivu.",Please be quiet. Don’t talk.
pai alapu a nu laqulj.,Please take out your textbook.
"ui, sinsi.","Yes, sir."
pai alapu a nu inepic.,Please take out your pen.
"sinsi, madraudrav a ken a kemacu tua ku inepic.",I forgot to bring my pen.
"sinsi, ini a ken a paqenetj a kemacu tua ku inepic.",I forgot to bring my pen.
pai alapu a nu siquliqulip.,Please take out the eraser.
"sinsi, madraudrav a ken a kemacu tua ku siquliqulip.",I forgot to bring my eraser.
"sinsi, ini a ken a paqenetj a kemacu tua ku siquliqulip.",I forgot to bring my eraser.
pai kisedjamu tua su sapitjan tua siquliqulip.,Please borrow erasers from your classmates.
pasedjami a ken tua su siquliqulip ui?,Can I borrow your eraser?
semu-a anga men tua nia kitulu.,Class is over.
qemacuvung anga men tua kitulu.,Class is over.
"djalju mazai tua tja kitulu, cevucevungi anga nu tjaivililj tua pulavai.","Class dismissed, see you next week."
tima sun?,Who are you?
tima sun?,Who are you?
"aljak a ken ni Sedjam, ti Qipu a ken.",I am Sedjam's son and my name is Qipu.
tima sun?,Who are you?
"vencik a ken ni sinsi i Puljaljuyan, ti Qipu a ken.",I am a student of Puljaljuyan and my name is Qipu.
tima su ngadan?,What's your name?
a ku ngadan ti Qipu.,My name is Qipu.
tima ngadan ni tjama?,What's your father's name?
pinaka tima ti tjama?,What's your father's name?
a ngadan ni kama pinaka ti Sedjam.,My father's name is Sedjam.
a ku kama ti Sedjam.,My father's name is Sedjam.
tima timadju?,Who is he?
ti Bua timadju.,He's Bua.
"u kaka a uqaljai a tjavulung tjanuaken timadju, ti Bua timadju.","He's my brother, his name is Bua."
tima ngadan nimadju?,What's his name?
ti Gese timadju,His name is Gese.
ti Gese a ngadan nimadju?,Is his name Gese?
pinaka ti Gese timadju?,Is his name Gese?
"ui, pinaka ti Gese timadju.","Yes, his name is Gese."
ti Apung a ngadan nimadju?,Is his name Apung?
"ini, a ngadan nimadju ti Apang.","No, his name is Apang."
tima azua?,Who is that guy?
ti Aljui timadju. ku kina ti kinai Aljui timadju.,She's Aljui. she's my aunt.
tima azua?,Who is that guy?
"ku drava timadju, ti Ipi a ngadan nimadju.","She's a friend of mine, her name is Ipi."
pidanga a su cavilj tucu?,How old are you?
tapuluq anga ku cavilj tucu.,I am 10 years old.
pidanga a cavilj nimadju tucu?,How old is he?
tapuluq saka drusa a cavilj nimadju tucu.,He is 12 years old.
pidanga a cavilj ni tjama tucu?,How old is your father?
limapluq anga a cavilj na ku kama tucu.,My father is 50 years old.
mapida a su siruvetjek?,How many brothers and sisters do you have?
mapida mun a mare kakakaka?,How many brothers and sisters do you have?
"izua madrusa a tjavulung tja nu aken a ku kaka a uqaljai katua vavayan, sa macidilj a tjaljaljak tja nu aken ku kaka a vavayan.",I have two brothers and sisters and one younger brother and sister.
izua a su kaka a tjavulung tjanusun a uqaljai?,Do you have a brother?
neka nu ku kaka a tjavulung tjanuaen a uqaljai.,I don't have a brother.
malje pida mun a tacemekeljan?,How many people are in your family?
izua men a ma sepatj a tacemekeljan.,There are four of us in our family.
i tulutulu sun i zainu?,Where did you study?
i tulutulu a ken i Taihuku.,I studied in Taipei.
tima timadju?,Who is he?
ku kama timadju a siruvetjek ni kama.,He is my uncle.
anema a kipusengesengesenganan ni tjama a siruvetjek ni tjaina?,What does your uncle do for a living?
kisacu timadju.,He’s a cop.
tima azua?,Who is that guy?
ku kaka a vavayan a tjavulung tjanuaken timadju.,She’s my sister.
izua sengesengan ni su kaka a vavayan?,Does your sister have a job?
kipusengesengesengan timadju i biyuing.,She works in a hospital.
mare suruvetjek tiamadju?,Are they brothers and sisters?
"ini, mare qali tiamadju.","No, they are friends."
paiyuan sun?,Are you Aboriginal?
kacalisiyan sun?,Are you Aboriginal?
"ui, paiyuan a ken.","Yes, I am a Paiwan."
paiyuan a su cekelj?,Is your spouse Aboriginal?
"ui, ljakua se Bunun zuku timadju.","Yes, but she’s Bunun."
qacaqaca ti tjama?,Is your father very tall?
"ui, qaqacaqacan amen a tacemekeljan.","Yes, we are all very tall."
ma gakkuku anga su kaka a vavayan a tjaljaljak tjanusun?,Does your sister go to school?
"ui, ma gakkuku anga timadju.","Yes, she went to school."
saiqu a penaiyuana a su kaka a tjaljaljak tjanusun?,Do your siblings speak the language?
"ui, saigu tiamadju a penaiyuanan.","Yes, they speak the ethnic language."
mapida a su siruvetjek?,How many brothers and sisters do you have?
izua ma tjelu a ku siruvetjek.,I have three brothers and sisters.
na matevelj a su kama katua su kina tua umaq?,Do you live with your parents?
"ui, namatevelj a ku kama atua ku kina.","Yes, I live with my mom and dad."
na kiatevelj sun tua su vuvu a uqaljai katua vavayan?,Do you live with your grandparents?
"ini, ini a ken a nakitatevelj tjayamadju.","No, I didn’t live with them."
tima su kiniteveljan?,Who do you live with?
"na kitatevelj a ken tjai kama, tjai kina, ktua ku kaka a tjavulung tjanuaken a uqaljai.","I live with my father, mother and brother."
na kemasinu sun?,Where are you from?
na kemasi Akaw a ken.,I’m from Pingtung.
inuan a nu umaq?,Where is your home?
a nia umaq i Akaw.,Our home is in Pingtung.
inuan a su qinaljan?,Where is your hometown?
i Akaw a ku qinaljan.,My hometown is in Pingtung.
inuan a su qinaljan?,Where is your tribe?
i Akaw a ku qinaljan.,Our tribe is in Pingtung.
tuki nungidanga a su sisaumaqan?,When are you going back to the tribe?
nu kaljapulavayan tua zulezulan maumaq aken sakamaya.,I will go back in the summer.
aljak aken na kacalisiyan.,I’m a Paiwan child.
namakuda a qadaw tucu?,How is the weather today?
"qadavan anga, zemulezul aravac.","The sun is coming out, it's very hot."
ljemaljeqljeqel a icasaw?,Is it going to be cold outside?
"ljamaljeqel aravac, sa itungu a pakaliyaw.","It's cold, so wear more clothes."
zemulezulezul a icasaw?,Will it be hot outside?
"ini, venalivali anga, sarenguanguaq aravac.","No, it's windy and cool."
namakuda a kinaqadavan tucu?,How is the weather today?
"inika ljaljeqeleqel inika zemulezulezul, sarenguaq a racac.","It's neither cold nor hot today, very comfortable."
namakuda sa kinavenginan tucu?,How is the weather tonight?
"neka nu qerepus, mapacucun anga a vitjuqan.",There were no clouds in the sky; the stars came out.
namakuda a kinaqadavan nua i casaw?,How is the weather outside?
"tjaumeljai, maqadaw anga, sa tjevuta anga a quljivangaraw.","The rain has just stopped, the sun has come out, the rainbow is coming out."
"tjau maka qudjalj, sa maqadaw anga, sa puquljivangaraw anga.","The rain has just stopped, the sun has come out, the rainbow is coming out."
namakuda a kinaqadaqadavan i tjanumun?,What's the weather like where you are?
venalivali aravac imaza i tjanuamen.,We're going to have a big storm here.
namaljenguaq a kinaqadavan i tjanumun?,How's the weather there?
"nanguaq aravac, maqadaqadaw.","Very well, out of the big sun."
uri vaik anga ken a kitulu.,I have to go to school.
"ljemaljeqel aravac, sa itungu a pakaliyaw.","The weather is very cold, so wear more clothes."
uri casaw anga ken.,I'm going out.
"ki qemudjalj a paljaqaca nu sauni, paqenetju a masi ljaung.","It's going to rain heavily, you have to remember to bring an umbrella."
uri qemudjalj?,Is it going to rain?
"cemlalalalaq anga, ki qemudjalj nu sauni.","There was thunder just now, and it's supposed to rain later."
qemudjaqudjalj anga?,Is it raining?
"na qemudjalj ta sauni, sa meljai anga tucu.","It just rained, and now it's stopped."
qemudjaqudjalj anga?,Is it raining?
"matu na qemudjalj anga, tjevetjeveng a djalan.",It seems to have rained and the road is wet.
na qemudjalj? Aqu sun a tjevetjeveng a penulingelingetj?,Is it raining? Why are you all wet?
"qemudjaqudjalj a i casaw, ini aken a namasi ljaung.","It's raining outside, so I didn't bring an umbrella."
namakudanga sun?,Are you all right?
kemudakudanga sun?,Are you all right?
"paljaqaca aravac sa vali, lemutud a ku qulu tua ku kinipavalian.",The wind is blowing so hard that my head hurts.
namakudanga sun?,Are you all right?
"maqadaw aravac, vucengel a ku qulu tua ku kinipaqadavan.","The sun is so big, it makes me dizzy."
dremaudraw anga ken a kemacu tua inepic.,I forgot to bring my pen.
ku pasedjamai sun.,I'll borrow you.
dremaudraw anga ken a kemacu tua qecap.,I forgot to bring my chopsticks.
malim anga ken a kemacu tua qecap.,I forgot to bring my chopsticks.
"ini aken uta a nakemacu, ari veli-i.","I don't have one either, let's go buy one."
ari veli-i tua inepic ui?,"Let's go buy a pen, shall we?"
vaiki a veneli tua inepic ui?,"Let's go buy a pen, shall we?"
"nanguaq, sa uri veneli anan aken tua siquliqulip.","Well, I still have to buy erasers."
"ui, sa uri veneli aken uta tua siquliqulip.","Well, I still have to buy erasers."
ari veli-i tua tja kenamain ui?,"Let's go get breakfast, shall we?"
"tjuari, na kenama anga ken i tjumaq.","No, I've already eaten at home."
dremaudraw anga ken a semeljec tua bintu.,I forgot to steam my lunchbox.
malim anga ken a semeljec tua bintu.,I forgot to steam my lunchbox.
sau seljecu a kirimu.,Take it to the heat!
vaiku a semeljec a kirimu.,Take it to the heat!
dremaudraw anga ken a kemacu tua bintu.,I forgot to bring my lunchbox.
malim anga ken a kemacuc tua bintu.,I forgot to bring my lunchbox.
pai tja kanaw a ku bintu numaya.,Then let's eat my lunch box together!
anema uri su cengelj?,What are you having for lunch?
uri anema a su kinecengeljen?,What are you having for lunch?
uri keman aken tua sinancengelj nua gakku.,I want a nutritious school lunch.
anema uri su cengelj?,What are you having for lunch?
uri keman su tua nema tua cengelj?,What are you having for lunch?
"nakemasi cenglj a ken tua bintu tucu, pai kaljingulji a kincengelj!","I've brought a lunchbox today, let's eat together at noon!"
vaiki a menali tua lanciyu ui?,"Let's go play basketball, shall we?"
nanguaq! Ari.,Okay! Let's go.
vaiki a menalji tua pangciyu ui?,Shall we go play baseball?
"ini, inika ken a vaik, uri kitulu aken.","No, I want to study."
pai alapan aken tua suapan.,Please help me with the broom.
"ui, ku sivayan cu a suapan tjanusun.","Okay, here's a broomstick for you."
pai alapan aken tua zuking ui?,Can you help me with the cloth?
"semuasuap ana a ken, alapan aken ayau ti Adrang.",B: I'm sweeping the floor and you asked Adrang to get it for you.
na makasuap anga sun?,Are you done sweeping?
maka suap anga ken.,I swept it.
aqu sun a inika semuasuap?,Why don't you clean up?
maka suap anga ken.,I've finished cleaning up.
"kungai aravac a kasintalj, sau zukingu.","The floor is dirty, go clean it."
"ui, vaik aken a malap tua zuking.","Okay, I'll go get the cloth."
"kungai aravac azua qezung, sau zukingu.","That window is very dirty, go clean it."
"galju anan, inikanan a ken a makasuap ta imaza.","Wait a minute, I'm not done sweeping here yet."
uri kemuda sun nu sauni?,What are you doing later?
anema uri su kudain nu sauni?,What are you doing later?
uri vaik aken a kipakim tjai sinsi.,I'm going to see my teacher.
anema su kudain nu qemacuvung itjen tua tja Kitulu i gakku?,What do you do after school?
uri kemuda sun nu maka kitulu itjen i gakku?,What do you do after school?
uri vaik aken a semenai katua ku qali.,I'm going to sing with my friends.
uri kemuda timadju nu qemacuvung tua kitulu?,What's he doing after school?
uri vaik timadju a ljemangui.,He's going swimming.
i tjumaq ti Ljavaus?,May I ask if Ljavaus is at home?
"itjumaq timadju, kelju saqumaqanu.","She’s at home, please come in."
i tjumaq ti Cankim?,May I ask if Cankim is home?
"neka, Inika i tjumaq timadju, pai anema su pacugan?","She's not here, what can I do for you?"
tima?,Who is it?
"vuvu, ti mani aken.","Grandpa, I'm Mani, please open the door."
tiam?,Who is it?
"Teludj, ti Giljegiljaw a ken, kipakikim aken tjanusun a Ki vangavanga.","Teludj, I'm Giljegiljaw and I've come to play with you."
a i singidan anga sun?,Long time no see.
cuacuai anga itjen a inika mapacucun.,Long time no see.
uilja! Nasingelit anga ken tjanusun. Kelju pareqaqivui!,"Yeah! I miss you so much. Come on, let's chat!"
"pai qiladju, tekelu tua utja.",Please sit down and have some tea.
pinakalevan.,Thank you.
pai tekelu tua utja.,Please have some tea.
ua! Sanguaq aravac a nu utja.,Your tea is delicious.
kelu kani tua kudamunu!,Let's eat fruit!
ui nanguaq! Matu sanguanguaq cu a marka kudamunu nu tja pacunan.,Yes! These fruits look great.
sanguanguq a kudamunu?,How is the fruit?
"ui, sanguaq aravac.","Yes, it's really delicious."
"maka kesanga ti kina tua kaiven, kelju kanu!","Mom has cooked dinner, come and eat!"
"ui, vaik aken a pilima.","Okay, I'll go wash my hands."
"inika sun a zuma, maya pakiljivak tua keman tua temkel.","Try to eat and drink as much as possible, you're not an outsider."
"inika sun a qaliqali, su liavu a kema su qacau a temkel.","Try to eat and drink as much as possible, you're not an outsider."
"nasemuliyaw aken a ravac a keman, mavetu anga ravac.","I ate a lot, I'm full."
"suliyavu a keman, maya pakiljivak.","Eat more, don't be polite."
"ui, sanguaq aravac a paqulid.","Well, it's delicious."
"uri vaik anga ken, kivalanga ken tjanusun nu Tjaivililj.","I'm leaving, I'll see you next time."
"ui, cevungi anga a mumalj.","Okay, goodbye."
"masulem anga ravac, uri tjumaq anga ken.","It's late, I'm going home."
kivaljau anga nu tjaiviljilj dri!,Come again next time!
pangetjezu anan nu tjaivililj a kivala dri!,Come again next time!
galju anga i djalan.,Walk slowly and carefully.
"ui, kivalavalau a matjanuamen nu pucug sun.","Okay, come to my house sometime."
"djavadjavai a masantalj, tucu uri kacuin mun ni sinsi a vaik a kivalja tua marka ramaljmaljeng i qinaljan.","Hello everyone, today I’m taking you to the tribe to interview the elders."
ui nanguaq! uri ki qaqivuan amen tua marka ramaljemaljeng a penayuanan.,Okay! We have to speak Paiwanese to the seniors.
uri djemaljudjaljun anga itjen?,Are we almost there?
uri djemaljudjaljun anga.,Almost there.
"vuvu, mangtjetj amen a ljemilji tjanusun.","Grandpa, we’ve come to see you."
na! saigu mun a penayuanan! nanguaq aravac!,You speak Paiwanese! That’s great!
"djavadjavai a masantalj, tucu uri kacuin mun ni sinsi a sema tua pu vaquan a murisengsengan.","Hello everyone, today I will take you to work in the millet field."
"ui, sinsi.","Yes, sir."
"kelu samazau a marasudj, paqenetju a kemacu a nu sipurisengsengan.","Come and line up, remember to bring your tools."
"ui, sinsi, niya kinacu anga nia sipurisengsengan.","Yes, sir, we’ve got our tools."
djemaljun anga itjen?,Are we there yet?
"ini inkanan a djemaljun, cemadja anan.","Not yet, it’s still far away."
sau djiqesu.,You go watering.
sau djiqesu tua zaljum.,You go watering.
"ui, tiaken nai a djemiqes.","Okay, I’ll water it."
sau alapu tua sivilavilad tua qayaqayam.,You go get the bird catcher.
"ui, vaik aken a venilad tua qayaqayam.","Okay, I’ll go and catch the birds."
"djavadjavai a masantalj, uri vaik itejn a sema tua pu qemuziquzipan tucu.","Hello everyone, we are going to the zoo today."
ui! Nanguaq aravac! uri pakatanema itjen a vaik?,Awesome! How are we going to get there?
uri maka Basu itjen a vaik.,Let’s take the bus.
"kacumalii a masantalj, uri veneli anga itjen tua kippu.","Everyone line up, we are ready to buy tickets."
ui.,Yes.
"a i sangas mana pu qayaqayaman, a i tjaivililj mana pu qatjuvian, sa tjarapacucuni tua marka nemanga.",There are birds in the front and snakes in the back.
sinsi marekutj aken tua qatjuvi.,I’m afraid of snakes.
"inika makuda, sau pacunu tua qayaqayam numaya.","It doesn’t matter, then you go and watch the birds."
nu cemalivat anga tua ita a zikangan samazai anga a matevetevelj.,We’ll be back in an hour.
"ui, pinakalevan sinsi.","Yes, thank you."
anema su pinacunan tucu?,What did you see today?
"napacun aken tua liyaw a qatjuvu, sa izuanan a liyaw a qayaqayam.",I saw a lot of snakes and a lot of birds.
"adjeljuayu, uri vaik anga itjen. pakirimu, uri vaik anga itjen.","Hurry up, we have to go."
"kaljavau anan aken, mazeli arava a ku kula.","Wait for me, my feet are tired."
vaiki a ljemangui ui?,Shall we go swimming together?
ui nanguaq! ari!,Yes! Let’s go!
tjuruvu aravac a caucau a ljemanguljangi imaza.,There are a lot of people swimming here.
"qaca aravac a zaljum i zua, nanguaq a tjaljumaza itjen a ljemangui.","The water is deep there, so we just swim here."
na maka tua anema sun a mangtjez?,How did you get here?
na djemavac aken a mamaza.,I came on foot.
a nema su pinakavavavan a mangetjez?,What kind of car did you take?
na maka tua basu aken a mangetjez.,I came by bus.
uri pakatua anema sun a sema kiyukai?,How do you go to church?
uri unting ti kama sake pivavai a vaik.,Dad drove me with him.
maka tua anemanema timadju a magakku?,How does he usually go to school?
maka vavavavaw tua jiyin timadju a magakku.,He took the subway to school.
maka tua anema a su vuvu a vavayan a veneli tua ljaceng?,How does your grandmother go to the grocery store?
maka utubai timadju a vaik a veneli ta ljaceng.,She went to the grocery store on a motorcycle.
uri maka tua anema sun a sema Tau?,How are you going to get to Orchid Island?
uri maka tua varukur aken a sema Tau.,I want to take a boat to Lanyu.
uri maka tua anema timadju a sema Tau?,How did he get to Orchid Island?
uri maka hikuki timadju a sema Tau.,He took a plane to Orchid Island.
uri maka tua anema timadju a sema Takau?,What bus did he take to Kaohsiung?
uri maka tua kauti timadju a sema Takau.,He took the THSR to Kaohsiung.
namaka kisiya timadju a sema Taitu?,Did he take a train to Taitung?
"ui, namaka kisiya timadju a sema Taitu.","Yes, he took a train to Taitung."
namaka kisiya timadju a sema Taitu?,Did he take a train to Taitung?
"ini, namaka hikuki timadju a sema Taitu.","No, he took a plane to Taitung."
izua a ljaljevavavan tua basu a makamaza?,Is there a bus stop near here?
"izua, ljiazuau anan a pagalju ki su pacuni a ljaljevavavan tua basu.","Yes, if you go straight ahead, you will see the bus stop."
izainu a tjaljacunguan tua ljaljevavavan tua jiyin imaza?,Where is the nearest MRT station?
"neka nu ljaljevavavan tua jiyin imaza, amin a maka haiya sun.","There is no MRT station here, you can only take a taxi."
ki makudakuda a maka tua basu sa djalun i gakku?,How long does it take to get to the school by bus?
ki izua 15 nu pung a zikangan sa djaljun i gakku.,15 minutes to school.
ki makudakuda nu zikangan a maka tua kauti sa djalun i Taiciyu?,How long does it take to get to Taichung by THSR?
ki izua 1 nu zikangan.,I will come to Taichung in an hour.
cuai a pasa Ulai nu unting tjen?,Is it a long drive to Ulai?
ki maya izua 1 nu zikangan.,It takes about an hour.
ki makudakuda nu zikangan nu maka tua jiyin sun a sema tua nia umaq?,How long did it take you to come to my house by subway?
ki izua 20 nu pung a zikang.,It takes 20 minutes.
saigu sun a maka didinsiya?,Do you know how to ride a bicycle?
saigu aken a maka didinsiya.,I can ride a bicycle.
izua su utubai?,Do you have a motorcycle?
izua ku utubai a ita.,I have a motorcycle.
izua su utubai?,Do you have a motorcycle?
neka nu ku utubai.,I don't have a motorcycle.
makaya sun a ku ki susuan?,Can I interview you?
"makaya, namasilevan aken aravac.","Yes, I would love to."
"ui, pukaui aken.","Yes, I would love to."
makaya sun a ku ki susuan?,Can I interview you?
makaya sun a ku kivadaqan?,Can I interview you?
"inika makaya, kedri a ku kineljangan.","Don’t, I don’t know much about it."
pucug sun nu masukincengelj? pasa vaik a ken a kivala tjanusun?,"Are you free this afternoon? I’d like to visit you, is that okay?"
"nganguaq, ku kaljavaw sun i tjumaq.","Okay, I’ll wait for you at home."
pucug sun nu tiyaw? pasa kisusu aken tua patjara tja milimilingan a payuan.,Are you free tomorrow? I’d like to ask you about the legendary story of the Paiwan tribe.
"uri sema gadu aken nu tiyaw, inika ken a i tjumaq dri!","I’m going to the mountains tomorrow, so I won’t be home."
"na seladenga ken tu kemeljang sun aravac tua patjara sinankakudan nua payuan zuku, sa uri pasakivadaq a ken tjanusun.","I heard that you know a lot about the traditional customs of the Paiwan people, so I would like to ask you something."
"kedri a ku kinljangan, ljakua ki ku sipasemalaw a ku kineljang.","I don’t know much about it, but I will try to answer as best I can."
djavadjavai aki makaya ken a paiga tjanusun? ulja sika tjasaceqalja a pu sivecik nu tjaivililj.,Can I record the video? It will be easier to record in the future.
"ui, inika makuda.","Okay, no problem."
pai pidanga su cavilj tucu?,How old are you?
izuanga a sivapuljuq saka alu anga ku cavilj tucu.,I’m 98 years old.
kakedrian anan sun.,You’re so young.
kedri anan a su cavilj.,You’re so young.
"ini anemanai, ramaljeng anga ken aravac.","No, I’m not! I’m old."
na kemasinu sun?,Where are you from?
na kemasi Pucunug aken.,I come from Bunraku.
se payuan a su cekelj uta?,Is your wife also a Paiwan?
"ini, se Amais timadju.","No, she’s Amish."
masan pidalj a kai a su kinasaigu a qivu?,What languages do you speak?
saigu a ken a penayuanan katua kai nia se Amis.,I speak Paiwan and Pangcah.
"namasi levan a ken a kisusu tjanusun tucu, pai qaqivu, nanguaq sun a pasemalaw tua patjara sinan palisi tua patjanu qemaljup ui?","It’s a pleasure to interview you today, can you talk about the taboo of hunting?"
ui nanguaq. Ka maqacuvucuvung anan a ken vaivaik a ken a murisacemel a sema vukid.,Yes. I used to go hunting in the mountains when I was young.
"pinakalevan, nanguaq aravac a su sinitulu tucu.","Thank you, what you taught me today was really great."
"namasan paqulid angata a ku siniqaqivu, mana sinitjaucikel nua mareka tja vuvu.","All that I say is true, the sayings of my ancestors."
uri tja tjaljumaza anga a tja kaljavar. pinakalevan aravac a su sinitjaucikel.,That’s all for today’s interview. Thank you very much for sharing with us.
"inika makuda, tja cusuaw anga nu tjaivililj.","You’re welcome, let’s talk again."
"uri vaik anga ken, ulja tjaliyaw anan a ku ki tjaucikelen nu tjaivililj.",I’m going to leave now and look forward to hearing more stories next time.
nanguaq! Galju anga.,Okay! Please take care.
"navenala sun, anema su velin?","Hello, what do you want to buy?"
uri venli aken tua kuppu tu ita.,I want to buy a cup.
"navenala sun, anema su velin?","Hello, what do you want to buy?"
uri venli aken tua tjalupung tu ita.,I want to buy a hat.
"uri venli aken tua kuppu, izua nu sipaveliveli?","I want to buy a cup, do you sell them?"
"izua, uri pida su velin?","Yes, how many do you want to buy?"
paveliveli mun tua saviki?,Do you sell betel nut?
"neka, inika men a paveliveli tua saviki.","No, we don't sell betel nut."
venli a ken tua padai.,I want to buy rice.
uri tjanu pida a su velin?,How many packs do you want to buy?
pavai a ken tu tjanu tjelu a cavu.,Give me three packs.
uri veneli a ken tua vurati.,I want to buy sweet potatoes.
mapulat anga a velin a vurati.,All the sweet potatoes are sold out.
uri venli a ken tua tjanu drusa a qalew.,I want to buy two bottles of oil.
tjanu ita anga imaza tjanuamen.,We only have one bottle left.
sau velian a ken tua qacilu.,Go buy me eggs.
